,championName,item0,item1,item2,item3,item4,item5,item6,teamPosition,win,matchId
4,Rell,1029,2055,3859,3001,1028,3158,3364,UTILITY,False,KR_6710735656
5,Gwen,1054,0,4633,3020,3108,1042,3364,TOP,True,KR_6710735656
6,LeeSin,1103,3071,6630,0,3047,0,3340,JUNGLE,True,KR_6710735656
7,Lissandra,6656,2033,1058,1082,3020,1052,3340,MIDDLE,True,KR_6710735656
8,Zeri,6675,3072,3087,3006,1083,0,3363,BOTTOM,True,KR_6710735656
9,Alistar,3859,3190,2055,3076,0,3158,3364,UTILITY,True,KR_6710735656
0,Akali,3916,2421,3152,3020,4645,2055,3364,TOP,True,KR_6710332898
1,Sejuani,3068,8020,2055,3111,0,6667,3364,JUNGLE,True,KR_6710332898
2,Yone,3153,6673,3006,1018,3001,6670,3364,MIDDLE,True,KR_6710332898
3,Ezreal,6694,3077,3158,3042,3078,0,3363,BOTTOM,True,KR_6710332898
4,Leona,6667,0,3857,3801,1029,3111,3364,UTILITY,True,KR_6710332898
5,Fiora,3044,6632,3074,1037,3111,3066,3364,TOP,False,KR_6710332898
6,FiddleSticks,4645,2055,4630,4644,3020,3916,3330,JUNGLE,False,KR_6710332898
7,Ahri,1056,2420,3191,3108,6653,3111,3364,MIDDLE,False,KR_6710332898
8,Kaisa,2055,3179,3115,6691,3145,3006,3363,BOTTOM,False,KR_6710332898
9,Pyke,3814,3179,3857,2055,3117,1036,3364,UTILITY,False,KR_6710332898
0,Volibear,1056,0,3065,6662,3110,3158,3364,TOP,True,KR_6710131216
1,Nidalee,3157,1058,3041,4636,3916,3020,3364,JUNGLE,True,KR_6710131216
2,Jayce,1055,6691,1036,2422,3042,6694,3363,MIDDLE,True,KR_6710131216
3,Zeri,6675,1055,1053,3087,1037,3006,3363,BOTTOM,True,KR_6710131216
4,Alistar,6667,2055,3860,3158,1028,3023,3364,UTILITY,True,KR_6710131216
5,Renekton,6630,2420,0,3047,3071,1054,3364,TOP,False,KR_6710131216
6,LeeSin,2055,6630,1036,3155,3071,3047,3340,JUNGLE,False,KR_6710131216
7,Tristana,1018,6672,0,3031,1055,3006,3363,MIDDLE,False,KR_6710131216
8,Kaisa,1058,1058,3115,3179,6691,3006,3363,BOTTOM,False,KR_6710131216
9,Nautilus,3001,3047,3860,2055,3067,1011,3364,UTILITY,False,KR_6710131216
0,Ornn,0,2031,1031,3047,6660,1054,3340,TOP,False,KR_6709915776
1,LeeSin,6630,1103,1036,2055,2422,0,3340,JUNGLE,False,KR_6709915776
2,Orianna,1056,3070,3020,3802,3108,2031,3340,MIDDLE,False,KR_6709915776
3,Kaisa,6672,0,2422,0,1055,0,3340,BOTTOM,False,KR_6709915776
4,Alistar,1011,1029,3859,0,0,3117,3340,UTILITY,False,KR_6709915776
5,Camille,2055,2010,2422,3078,1036,3077,3340,TOP,True,KR_6709915776
6,Karthus,0,3041,6653,1052,2422,0,3363,JUNGLE,True,KR_6709915776
7,Sylas,6656,2031,2055,0,1054,3158,3364,MIDDLE,True,KR_6709915776
8,Xayah,6672,0,2031,3006,1083,6675,3363,BOTTOM,True,KR_6709915776
9,Rakan,2065,3145,3859,2055,3158,1082,3364,UTILITY,True,KR_6709915776
0,Yone,3006,1033,6677,3036,3153,6673,3364,TOP,True,KR_6709849769
1,Sejuani,0,8020,2420,6667,3068,3158,3364,JUNGLE,True,KR_6709849769
2,Azir,3115,3020,2055,4645,3135,6655,3363,MIDDLE,True,KR_6709849769
3,Draven,6671,3006,3026,3508,3074,1036,3363,BOTTOM,True,KR_6709849769
4,Thresh,0,0,3857,6667,3111,3109,3364,UTILITY,True,KR_6709849769
5,Udyr,2421,6665,3047,4637,3191,1056,3364,TOP,False,KR_6709849769
6,Belveth,1028,2421,6631,3111,3053,3071,3364,JUNGLE,False,KR_6709849769
7,Ziggs,6653,3089,3135,3020,4645,0,3363,MIDDLE,False,KR_6709849769
8,Kaisa,3072,2420,3006,3085,6672,6675,3363,BOTTOM,False,KR_6709849769
9,Blitzcrank,3111,3190,3109,3860,3082,3024,3364,UTILITY,False,KR_6709849769
0,Fiora,3074,6632,3111,0,0,1054,3340,TOP,False,KR_6709671399
1,Karthus,3157,6653,1082,3020,3135,1052,3363,JUNGLE,False,KR_6709671399
2,Tristana,3031,3036,3006,6672,0,0,3363,MIDDLE,False,KR_6709671399
3,Ezreal,6694,3042,3158,0,3078,0,3363,BOTTOM,False,KR_6709671399
4,Rakan,6667,3860,3067,3111,2055,0,3364,UTILITY,False,KR_6709671399
5,Renekton,6630,2421,3071,3047,1055,1036,3340,TOP,True,KR_6709671399
6,Zac,6667,6660,8001,3158,1011,3041,3364,JUNGLE,True,KR_6709671399
7,Azir,3115,4644,3157,0,0,3020,3363,MIDDLE,True,KR_6709671399
8,Kaisa,6691,3115,3157,3006,3179,0,3363,BOTTOM,True,KR_6709671399
9,Alistar,3190,3860,0,1033,3023,3158,3364,UTILITY,True,KR_6709671399
0,Olaf,1054,6631,3074,3047,3156,3082,3340,TOP,False,KR_6709633436
1,Blitzcrank,3222,2065,3860,2055,0,3117,3364,UTILITY,False,KR_6709633436
2,Azir,6655,4645,1058,3111,0,0,3364,MIDDLE,False,KR_6709633436
3,Kaisa,1055,3095,3124,3091,3006,1053,3363,BOTTOM,False,KR_6709633436
4,Graves,3814,3142,0,6676,3111,0,3364,JUNGLE,False,KR_6709633436
5,Orianna,3040,4644,1052,0,3916,3020,3363,TOP,True,KR_6709633436
6,Belveth,3047,2421,6631,3161,3071,1029,3364,JUNGLE,True,KR_6709633436
7,Neeko,3152,1058,3157,1082,3135,3020,3340,MIDDLE,True,KR_6709633436
8,Xayah,2421,1031,6675,3072,3006,6672,3363,BOTTOM,True,KR_6709633436
9,Rakan,8001,6667,3860,2055,3158,0,3364,UTILITY,True,KR_6709633436
0,Vi,3071,0,0,6632,1028,2422,3364,JUNGLE,False,KR_6709601762
1,Poppy,6662,2033,1001,6660,1029,0,3340,TOP,False,KR_6709601762
2,Orianna,6653,3020,3070,3067,0,1056,3363,MIDDLE,False,KR_6709601762
3,Ezreal,0,0,3042,3078,2422,1055,3363,BOTTOM,False,KR_6709601762
4,Bard,3853,3190,3117,2055,1052,0,3364,UTILITY,False,KR_6709601762
5,Gwen,4633,2055,3115,3158,1056,0,3364,TOP,True,KR_6709601762
6,Sejuani,6667,3068,3047,1057,1028,2055,3364,JUNGLE,True,KR_6709601762
7,Yone,1037,3006,2055,6672,1054,1038,3340,MIDDLE,True,KR_6709601762
8,MissFortune,6691,2424,3009,3134,3179,1037,3363,BOTTOM,True,KR_6709601762
9,Rell,3860,2055,3076,3158,1028,6667,3364,UTILITY,True,KR_6709601762
0,Renekton,3161,6630,3047,3123,3044,1028,3364,TOP,True,KR_6709580118
1,Nidalee,3108,2420,1052,3041,4636,3020,3364,JUNGLE,True,KR_6709580118
2,Yone,6677,6673,6670,2015,1054,3006,3364,MIDDLE,True,KR_6709580118
3,Sivir,1055,3095,3006,1038,6675,0,3363,BOTTOM,True,KR_6709580118
4,Rakan,0,3860,3916,3114,6667,3158,3364,UTILITY,True,KR_6709580118
5,Aatrox,6630,3133,1036,1055,1054,3047,3340,TOP,False,KR_6709580118
6,Karthus,3145,3020,1052,6653,1082,0,3364,JUNGLE,False,KR_6709580118
7,Talon,6692,6693,1036,2422,1036,0,3364,MIDDLE,False,KR_6709580118
8,Zeri,6675,1083,2055,3006,3087,0,3363,BOTTOM,False,KR_6709580118
9,Alistar,3860,3047,3001,1028,2055,0,3364,UTILITY,False,KR_6709580118
0,KSante,6662,2031,2055,1054,1001,1029,3340,TOP,False,KR_6709556210
1,Nidalee,0,0,0,1101,4636,3020,3364,JUNGLE,False,KR_6709556210
2,Jayce,1054,2031,3070,1001,3133,3134,3364,MIDDLE,False,KR_6709556210
3,Sivir,1055,2031,6672,2422,1036,0,3340,BOTTOM,False,KR_6709556210
4,Nautilus,6660,2031,3859,0,3111,1029,3364,UTILITY,False,KR_6709556210
5,Poppy,1054,6662,3047,6660,1029,2031,3364,TOP,True,KR_6709556210
6,LeeSin,6630,3071,0,0,1103,2422,3340,JUNGLE,True,KR_6709556210
7,Orianna,1058,4644,3158,3070,1056,3067,3340,MIDDLE,True,KR_6709556210
8,Ezreal,3078,3070,1036,2422,1036,1055,3363,BOTTOM,True,KR_6709556210
9,Rell,2031,3859,2055,1033,3158,3023,3364,UTILITY,True,KR_6709556210
0,Gnar,1054,2031,3078,3047,0,0,3340,TOP,False,KR_6709532623
1,Nidalee,4636,1082,1052,1101,0,3020,3364,JUNGLE,False,KR_6709532623
2,Tristana,6672,3006,0,0,1055,0,3340,MIDDLE,False,KR_6709532623
3,Kalista,3153,2055,3006,1042,0,0,3340,BOTTOM,False,KR_6709532623
4,Rakan,3105,3859,2055,0,1011,3111,3364,UTILITY,False,KR_6709532623
5,KSante,1054,6662,0,2055,3047,2031,3364,TOP,True,KR_6709532623
6,Karthus,0,1082,3802,3020,1052,0,3513,JUNGLE,True,KR_6709532623
7,Yone,3006,1054,3153,0,1053,1037,3364,MIDDLE,True,KR_6709532623
8,Zeri,1055,3095,2055,3006,1042,0,3363,BOTTOM,True,KR_6709532623
9,Alistar,2065,0,3859,2055,3158,0,3364,UTILITY,True,KR_6709532623
0,KSante,3075,6662,3105,3047,4401,1033,3364,TOP,False,KR_6709501636
1,LeeSin,3161,1037,3158,3044,2420,6630,3340,JUNGLE,False,KR_6709501636
2,Leblanc,4636,3087,1058,3020,1082,4645,3364,MIDDLE,False,KR_6709501636
3,Senna,3155,3864,2055,3009,3095,3031,3364,UTILITY,False,KR_6709501636
4,TahmKench,6665,3076,1011,1054,3068,3111,3363,BOTTOM,False,KR_6709501636
5,Aatrox,2420,3071,6630,1037,1028,3047,3364,TOP,True,KR_6709501636
6,Nidalee,4636,4645,3157,3158,3135,1082,3364,JUNGLE,True,KR_6709501636
7,Jayce,2420,6692,6693,3047,3042,1036,3363,MIDDLE,True,KR_6709501636
8,Kaisa,3115,3179,6691,3089,1055,3006,3363,BOTTOM,True,KR_6709501636
9,Nautilus,3001,3860,0,3047,3023,3801,3364,UTILITY,True,KR_6709501636
0,Renekton,6630,3071,2420,0,3053,3047,3364,TOP,True,KR_6709473795
1,Kindred,3095,1018,3006,0,1038,6673,3364,JUNGLE,True,KR_6709473795
2,Zilean,6656,2421,3158,3916,1052,1056,3364,MIDDLE,True,KR_6709473795
3,Zeri,3087,1036,1055,6675,1018,3006,3363,BOTTOM,True,KR_6709473795
4,Rell,3860,0,6667,3076,1011,3158,3364,UTILITY,True,KR_6709473795
5,Ornn,1054,3001,3075,2055,2422,1029,3364,TOP,False,KR_6709473795
6,LeeSin,3071,2055,6630,3047,0,0,3340,JUNGLE,False,KR_6709473795
7,Akali,3152,1054,3145,1082,3020,1058,3364,MIDDLE,False,KR_6709473795
8,Twitch,3085,3095,3124,0,2422,0,3363,BOTTOM,False,KR_6709473795
9,Alistar,3860,0,0,1011,3105,3158,3364,UTILITY,False,KR_6709473795
0,Gwen,3115,2055,1058,1058,3158,4633,3364,TOP,True,KR_6709408110
1,LeeSin,3071,0,6630,3161,3044,3111,3340,JUNGLE,True,KR_6709408110
2,Vex,6656,2421,4628,3135,3020,1082,3364,MIDDLE,True,KR_6709408110
3,MissFortune,3009,0,3142,6694,1036,3087,3363,BOTTOM,True,KR_6709408110
4,Senna,6692,3864,3086,3179,3009,2015,3364,UTILITY,True,KR_6709408110
5,Gragas,6656,1052,3158,3108,1056,3165,3364,TOP,False,KR_6709408110
6,Poppy,3068,3105,2055,3158,1033,6665,3364,JUNGLE,False,KR_6709408110
7,Leblanc,3111,2031,3135,6655,3087,0,3364,MIDDLE,False,KR_6709408110
8,Ezreal,3042,3156,3078,3158,3110,0,3363,BOTTOM,False,KR_6709408110
9,Alistar,3860,6667,2055,3076,3117,1011,3364,UTILITY,False,KR_6709408110
0,Renekton,1054,6630,1057,3111,3156,3067,3340,TOP,False,KR_6709375162
1,Poppy,3158,6660,4401,0,0,6665,3364,JUNGLE,False,KR_6709375162
2,Orianna,1056,6653,3157,3135,0,3158,3363,MIDDLE,False,KR_6709375162
3,Ezreal,3078,3158,3042,1055,6694,3077,3363,BOTTOM,False,KR_6709375162
4,Heimerdinger,3802,3916,3108,3853,3116,3158,3364,UTILITY,False,KR_6709375162
5,Gwen,4633,3047,3135,1058,3115,1058,3364,TOP,True,KR_6709375162
6,Hecarim,6632,3161,0,3158,3133,3065,3364,JUNGLE,True,KR_6709375162
7,Zilean,6656,2420,3108,3158,4629,3916,3364,MIDDLE,True,KR_6709375162
8,Cassiopeia,3040,2421,4629,3916,6653,3108,3363,BOTTOM,True,KR_6709375162
9,Nautilus,2055,3190,3860,3050,1033,3111,3364,UTILITY,True,KR_6709375162
0,Kennen,3152,2031,1058,1055,3020,0,3364,TOP,False,KR_6708937702
1,Graves,1102,3095,3051,2422,0,0,3364,JUNGLE,False,KR_6708937702
2,Akshan,3087,2031,1036,1036,0,1001,3340,MIDDLE,False,KR_6708937702
3,Zeri,2031,3087,1055,3006,1036,0,3363,BOTTOM,False,KR_6708937702
4,Rell,1011,2031,3859,1033,1029,3158,3364,UTILITY,False,KR_6708937702
5,Kayle,1028,0,0,3091,3006,0,3363,TOP,True,KR_6708937702
6,Viego,0,0,1103,3111,3078,6670,3513,JUNGLE,True,KR_6708937702
7,Azir,2031,4644,3108,3020,1056,1026,3340,MIDDLE,True,KR_6708937702
8,Xayah,1038,3133,6672,2422,1083,0,3363,BOTTOM,True,KR_6708937702
9,Bard,3851,2031,3023,3047,1033,2055,3364,UTILITY,True,KR_6708937702
0,Irelia,3001,3153,2420,3158,3091,1029,3363,TOP,True,KR_6708857628
1,Gwen,4633,2422,3115,1052,1028,0,3364,JUNGLE,True,KR_6708857628
2,Yone,6672,1028,3031,3044,1055,3006,3364,MIDDLE,True,KR_6708857628
3,Ezreal,3158,3078,3042,0,0,1055,3363,BOTTOM,True,KR_6708857628
4,Alistar,3860,3117,3050,2055,3001,6660,3364,UTILITY,True,KR_6708857628
5,KSante,3047,6662,3075,0,0,0,3340,TOP,False,KR_6708857628
6,Viego,6672,3047,2055,0,3051,3067,3364,JUNGLE,False,KR_6708857628
7,Sylas,1056,6656,1052,3916,1054,3020,3364,MIDDLE,False,KR_6708857628
8,Kaisa,3124,1055,2421,3095,1042,3006,3363,BOTTOM,False,KR_6708857628
9,Rakan,6667,3860,2055,3158,1028,1028,3364,UTILITY,False,KR_6708857628
0,Malphite,1056,1057,3068,3067,3047,3076,3340,TOP,True,KR_6708500110
1,RekSai,6631,3161,3133,3047,1028,0,3364,JUNGLE,True,KR_6708500110
2,Neeko,3157,1082,3152,1056,3020,0,3364,MIDDLE,True,KR_6708500110
3,Kaisa,3115,3006,6691,3179,1042,0,3363,BOTTOM,True,KR_6708500110
4,Alistar,3860,2055,3076,1011,3001,3158,3364,UTILITY,True,KR_6708500110
5,Sylas,6656,3111,1056,3108,3191,1082,3340,MIDDLE,False,KR_6708500110
6,LeeSin,3133,6630,0,0,3071,2422,3340,JUNGLE,False,KR_6708500110
7,Jax,1036,3111,1037,3067,1036,6632,3340,TOP,False,KR_6708500110
8,MissFortune,3179,6691,1055,3035,0,2422,3363,BOTTOM,False,KR_6708500110
9,Blitzcrank,3860,6667,1029,2055,3009,0,3364,UTILITY,False,KR_6708500110
0,Jayce,1055,6691,3070,1036,1001,1036,3363,TOP,False,KR_6708240805
1,JarvanIV,6630,1103,2422,1036,1036,0,3364,JUNGLE,False,KR_6708240805
2,Azir,1056,6655,1001,1042,1082,1052,3340,MIDDLE,False,KR_6708240805
3,MissFortune,6691,6694,0,3179,0,2422,3363,BOTTOM,False,KR_6708240805
4,Rumble,3859,1052,1082,3145,3108,3020,3364,UTILITY,False,KR_6708240805
5,Taric,2033,2055,3065,6662,0,3158,3364,TOP,True,KR_6708240805
6,Nidalee,3057,3157,3152,3113,3041,3158,3364,JUNGLE,True,KR_6708240805
7,Tristana,3035,6672,6675,1018,0,3006,3340,MIDDLE,True,KR_6708240805
8,Varus,3004,3142,3134,3158,1036,1036,3513,BOTTOM,True,KR_6708240805
9,Blitzcrank,2055,2065,3859,2421,0,3009,3364,UTILITY,True,KR_6708240805
0,Aatrox,6630,2420,3076,3047,3053,3071,3364,TOP,True,KR_6708199573
1,Gwen,3115,3089,3157,3135,3047,4633,3364,JUNGLE,True,KR_6708199573
2,Jayce,6695,2421,6691,3042,3158,6694,3363,MIDDLE,True,KR_6708199573
3,MissFortune,6694,2421,6676,6691,3179,3009,3363,BOTTOM,True,KR_6708199573
4,Karma,2065,3853,0,3011,3158,6616,3364,UTILITY,True,KR_6708199573
5,Irelia,6632,3026,3091,3053,3153,3047,3364,TOP,False,KR_6708199573
6,LeeSin,6630,3047,2420,6609,3071,3053,3340,JUNGLE,False,KR_6708199573
7,KSante,3024,3075,3193,3082,6662,3047,3364,MIDDLE,False,KR_6708199573
8,Kaisa,3135,3089,3115,3124,3095,3020,3363,BOTTOM,False,KR_6708199573
9,Rumble,3860,3165,2421,4636,3020,1082,3364,UTILITY,False,KR_6708199573
0,Gragas,1056,3040,6656,0,3158,0,3364,TOP,True,KR_6708176222
1,Nocturne,3111,3161,6631,3071,8020,1043,3364,JUNGLE,True,KR_6708176222
2,Neeko,3135,3157,3152,0,3041,3020,3364,MIDDLE,True,KR_6708176222
3,Kaisa,3095,3157,0,3124,1043,3006,3363,BOTTOM,True,KR_6708176222
4,Rakan,0,0,3860,3107,6667,3158,3364,UTILITY,True,KR_6708176222
5,Kennen,3089,3152,4645,3020,3108,4632,3364,TOP,False,KR_6708176222
6,Viego,3111,0,0,3078,3091,3053,3364,JUNGLE,False,KR_6708176222
7,Tristana,2031,3006,3035,3031,1055,6672,3363,MIDDLE,False,KR_6708176222
8,Zeri,3087,6675,3006,3085,2055,1036,3363,BOTTOM,False,KR_6708176222
9,Maokai,2055,1028,3857,3024,6667,3009,3364,UTILITY,False,KR_6708176222
0,Aatrox,1054,6630,1036,3047,3067,1036,3364,TOP,False,KR_6708134210
1,LeeSin,1103,6630,2055,3067,3133,2422,3340,JUNGLE,False,KR_6708134210
2,Jayce,1055,2031,3070,6691,1036,1001,3363,MIDDLE,False,KR_6708134210
3,Ezreal,2031,3508,1055,2422,3070,0,3340,BOTTOM,False,KR_6708134210
4,Soraka,3851,2031,3158,3067,1052,2055,3364,UTILITY,False,KR_6708134210
5,Camille,1054,6632,3047,0,0,0,3340,TOP,True,KR_6708134210
6,Ivern,1102,2055,3113,6617,0,3158,3364,JUNGLE,True,KR_6708134210
7,Tristana,2031,6672,2055,1037,1055,3006,3340,MIDDLE,True,KR_6708134210
8,Xayah,2031,2055,6672,3133,3006,0,3340,BOTTOM,True,KR_6708134210
9,Thresh,3859,2055,2031,1011,3009,1029,3364,UTILITY,True,KR_6708134210
0,Yone,6672,3124,1053,1055,1037,3006,3363,TOP,True,KR_6707834100
1,Kindred,3078,3047,0,0,6672,0,3364,JUNGLE,True,KR_6707834100
2,TwistedFate,6656,3157,2033,3113,1082,3047,3340,MIDDLE,True,KR_6707834100
3,Varus,3158,3142,3042,3814,3035,1036,3363,BOTTOM,True,KR_6707834100
4,Neeko,3020,3152,2421,3853,0,1052,3364,UTILITY,True,KR_6707834100
5,Udyr,1056,8020,3068,1029,1028,3047,3364,TOP,False,KR_6707834100
6,Graves,3035,0,3142,3133,6696,2422,3364,JUNGLE,False,KR_6707834100
7,Tristana,2031,3006,3031,6672,1055,1018,3363,MIDDLE,False,KR_6707834100
8,Cassiopeia,3040,6657,2031,1028,0,0,3340,BOTTOM,False,KR_6707834100
9,Nautilus,2055,0,3859,3001,0,3111,3364,UTILITY,False,KR_6707834100
0,KSante,6662,3193,1031,6660,3111,0,3364,TOP,False,KR_6707786838
1,Viego,3111,6672,3078,3133,3067,0,3364,JUNGLE,False,KR_6707786838
2,Tristana,3031,6672,3036,3006,1038,1018,3363,MIDDLE,False,KR_6707786838
3,Xerath,3020,6653,3916,4628,1082,3108,3363,BOTTOM,False,KR_6707786838
4,Senna,3009,3095,3864,3031,1018,2055,3364,UTILITY,False,KR_6707786838
5,Gwen,4633,0,3115,1056,4630,3047,3364,TOP,True,KR_6707786838
6,Graves,3078,3095,6676,0,0,3047,3364,JUNGLE,True,KR_6707786838
7,Vex,4630,3157,6656,2055,1026,3158,3364,MIDDLE,True,KR_6707786838
8,Draven,3142,0,3009,3508,3094,3074,3363,BOTTOM,True,KR_6707786838
9,Rell,3158,6667,3860,0,3082,1011,3364,UTILITY,True,KR_6707786838
0,Jax,3071,6632,0,0,0,0,3340,TOP,False,KR_6707757539
1,LeeSin,6630,1102,1037,3133,2422,3067,3340,JUNGLE,False,KR_6707757539
2,Sylas,6656,3158,1058,3191,1056,1082,3364,MIDDLE,False,KR_6707757539
3,Senna,3864,0,2055,3095,3009,0,3364,UTILITY,False,KR_6707757539
4,TahmKench,2031,1054,3068,3047,3067,1031,3364,BOTTOM,False,KR_6707757539
5,KSante,1054,2055,3105,6662,3075,3047,3364,TOP,True,KR_6707757539
6,JarvanIV,3158,6630,2055,3067,3071,3133,3364,JUNGLE,True,KR_6707757539
7,Akali,3152,3145,1082,3020,3916,4645,3364,MIDDLE,True,KR_6707757539
8,Zeri,3006,6675,3087,1083,3035,1018,3363,BOTTOM,True,KR_6707757539
9,Alistar,0,2031,3860,6667,3117,1028,3364,UTILITY,True,KR_6707757539
0,Akali,1054,3145,1052,3020,1082,1026,3364,TOP,False,KR_6707704169
1,LeeSin,1103,6630,2055,2422,1036,0,3340,JUNGLE,False,KR_6707704169
2,Orianna,3158,2033,4644,0,0,0,3363,MIDDLE,False,KR_6707704169
3,Kaisa,2031,2015,1001,1055,6670,1018,3340,BOTTOM,False,KR_6707704169
4,Nautilus,1011,3859,2055,3047,0,0,3364,UTILITY,False,KR_6707704169
5,Gwen,1054,2031,4633,4632,3020,0,3340,TOP,True,KR_6707704169
6,Viego,6631,2055,0,0,3111,3133,3364,JUNGLE,True,KR_6707704169
7,Leblanc,2031,3087,2055,3020,1052,3108,3364,MIDDLE,True,KR_6707704169
8,Ezreal,3158,2031,3078,3004,3133,2055,3363,BOTTOM,True,KR_6707704169
9,Alistar,1011,3111,3859,0,1029,1033,3364,UTILITY,True,KR_6707704169
0,Akali,3152,2421,3135,4645,3020,3108,3364,TOP,True,KR_6707624922
1,Viego,2055,0,3111,3026,3071,6632,3364,JUNGLE,True,KR_6707624922
2,Renekton,3071,6630,0,3044,1028,3047,3364,MIDDLE,True,KR_6707624922
3,Ezreal,3158,3078,3042,6694,3133,1053,3363,BOTTOM,True,KR_6707624922
4,Alistar,1028,3860,0,3158,0,6667,3364,UTILITY,True,KR_6707624922
5,Gnar,4401,3133,3067,3111,3078,1036,3340,TOP,False,KR_6707624922
6,Nidalee,1026,3157,3152,1082,3158,4630,3364,JUNGLE,False,KR_6707624922
7,KSante,2055,3047,3193,6662,1054,1011,3364,MIDDLE,False,KR_6707624922
8,Kaisa,0,3006,1055,3087,6672,6675,3363,BOTTOM,False,KR_6707624922
9,Leona,1028,3857,0,6667,3047,0,3364,UTILITY,False,KR_6707624922
0,Aatrox,1036,1037,1055,3047,6691,3067,3364,TOP,True,KR_6707337210
1,Nidalee,1101,3020,4636,3041,1026,0,3364,JUNGLE,True,KR_6707337210
2,Jayce,1055,6691,2031,3070,1001,3133,3340,MIDDLE,True,KR_6707337210
3,Kaisa,2031,2422,3087,1055,3108,1043,3340,BOTTOM,True,KR_6707337210
4,Rell,3859,1033,0,3047,1029,1011,3364,UTILITY,True,KR_6707337210
5,Camille,3067,3057,1083,1055,1001,3051,3340,TOP,False,KR_6707337210
6,Ekko,1102,3152,2422,1082,1052,0,3364,JUNGLE,False,KR_6707337210
7,Tristana,2031,6672,2055,0,1055,3006,3363,MIDDLE,False,KR_6707337210
8,Aphelios,1083,3095,1038,1001,1018,0,3340,BOTTOM,False,KR_6707337210
9,Alistar,3859,3117,1011,2055,0,0,3364,UTILITY,False,KR_6707337210
0,Udyr,4637,3009,3067,1033,0,1056,3364,TOP,False,KR_6707089186
1,Shaco,6631,1102,3006,3161,1028,0,3364,JUNGLE,False,KR_6707089186
2,Syndra,2055,6655,4630,3020,1056,1082,3340,MIDDLE,False,KR_6707089186
3,Ashe,1055,6672,3051,3006,3067,3057,3363,BOTTOM,False,KR_6707089186
4,Karma,2065,2031,3853,1052,3114,3158,3364,UTILITY,False,KR_6707089186
5,KSante,8020,3111,6662,3105,1029,1054,3364,TOP,True,KR_6707089186
6,Graves,3133,3067,2055,3078,6676,3111,3364,JUNGLE,True,KR_6707089186
7,AurelionSol,4644,3108,3145,3020,1056,3116,3363,MIDDLE,True,KR_6707089186
8,Jhin,0,3142,2031,0,3087,3009,3363,BOTTOM,True,KR_6707089186
9,Zilean,2065,2420,3916,3859,2055,3158,3364,UTILITY,True,KR_6707089186
0,Warwick,1055,3153,3157,3001,3047,3077,3364,TOP,False,KR_6706961541
1,Karthus,3157,1052,1026,3020,4645,6653,3364,JUNGLE,False,KR_6706961541
2,Kaisa,3035,3046,6675,6672,1018,3006,3363,BOTTOM,False,KR_6706961541
3,Jayce,3158,6694,3133,3042,6691,1037,3364,MIDDLE,False,KR_6706961541
4,Blitzcrank,3107,6656,3860,2055,3117,0,3364,UTILITY,False,KR_6706961541
5,Sivir,1001,3087,6675,3046,1038,1055,3363,BOTTOM,True,KR_6706961541
6,LeeSin,6630,3026,0,3071,3111,3161,3340,JUNGLE,True,KR_6706961541
7,Diana,4645,3157,3152,3165,1082,3020,3363,MIDDLE,True,KR_6706961541
8,Poppy,6665,3123,3068,1033,3047,0,3364,TOP,True,KR_6706961541
9,Rakan,3860,2055,6667,3107,0,3158,3364,UTILITY,True,KR_6706961541
0,Renekton,1037,6630,2055,3123,1054,3047,3364,TOP,False,KR_6706622016
1,Taliyah,1082,2055,2421,4645,6653,3020,3364,JUNGLE,False,KR_6706622016
2,Tristana,6675,6672,3036,3006,1055,0,3363,MIDDLE,False,KR_6706622016
3,Xayah,1055,3095,6675,3035,0,3006,3363,BOTTOM,False,KR_6706622016
4,Rakan,3860,2065,1028,2055,3158,3916,3364,UTILITY,False,KR_6706622016
5,Aatrox,6630,0,3077,3047,3161,3133,3364,TOP,True,KR_6706622016
6,Nidalee,3135,3157,3152,1082,3158,3089,3364,JUNGLE,True,KR_6706622016
7,Yone,1054,1036,3153,3095,0,3006,3340,MIDDLE,True,KR_6706622016
8,Kaisa,3115,1055,2421,6691,3179,3006,3363,BOTTOM,True,KR_6706622016
9,Nautilus,3860,3158,2421,2055,6667,1029,3364,UTILITY,True,KR_6706622016
0,Varus,3115,1055,3006,4633,0,0,3340,TOP,False,KR_6706527240
1,RekSai,6631,1028,2055,3071,3044,3047,3364,JUNGLE,False,KR_6706527240
2,Leblanc,6632,3095,3087,0,3051,1001,3340,MIDDLE,False,KR_6706527240
3,Caitlyn,3095,3031,3036,2015,0,3006,3363,BOTTOM,False,KR_6706527240
4,Morgana,3853,3157,0,3105,1028,3158,3364,UTILITY,False,KR_6706527240
5,Akshan,6672,3091,3047,6631,1036,0,3363,TOP,True,KR_6706527240
6,Sejuani,3082,3068,3024,3158,1028,6667,3364,JUNGLE,True,KR_6706527240
7,Tristana,3031,1053,0,6672,1055,3006,3340,MIDDLE,True,KR_6706527240
8,Jhin,6671,2031,3035,3095,0,3009,3363,BOTTOM,True,KR_6706527240
9,Swain,3853,0,1028,3047,6667,3116,3364,UTILITY,True,KR_6706527240
0,Darius,8020,0,6632,3161,3053,3047,3364,TOP,True,KR_6706446489
1,Sejuani,3047,3075,0,6667,3068,3082,3364,JUNGLE,True,KR_6706446489
2,Yone,3006,2420,1038,6673,3087,3031,3364,MIDDLE,True,KR_6706446489
